"CNPJ";"CD_CVM";"DENOM_SOCIAL"
"49.341.506/0001-53";493;"BIRMANN SA COM. E EMPREEND."
"13.574.594/0001-96";24317;"BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S.A."
"58.430.828/0001-60";24627;"BLAU FARMACÊUTICA S.A."
"60.637.238/0001-54";12319;"BLUE TECH SOLUTIONS EQI S.A."
"66.542.002/0001-10";17760;"BLUE TREE HOTELS & RESORTS DO BRASIL SA"
"24.921.465/0001-43";26204;"BLUEFIT ACADEMIAS DE GINÁSTICA E PARTICIPAÇÕES S.A"
"20.451.953/0001-83";23760;"BLUM COMPANHIA DE SECURITIZAÃ+O DE CR+DITOS S.A"
"46.521.357/0001-16";15229;"BMD LEASING SA ARREND MERC"
"34.265.561/0001-34";1724;"BMG LEASING S.A. -  ARREND. MERCANTIL"
"61.146.577/0001-09";1007;"BNC BRAZIL LTDA"
"00.383.281/0001-09";16772;"BNDES PARTICIPAÇÕES S.A. - BNDESPAR"
"10.807.374/0001-77";25704;"BOA SAFRA SEMENTES S.A"
"11.725.176/0001-27";25135;"BOA VISTA SERVIÇOS S.A."
"42.419.846/0001-00";1759;"BOAVISTA SA ARREND MERCANTIL"
"42.419.846/0001-00";15172;"BOAVISTA SA ARREND MERCANTIL"
"33.528.720/0001-83";1732;"BOAVISTA SA CRED FIN E INV"
"17.387.473/0001-96";12270;"BOCAIUVA TEXTIL SA"
"10.894.123/0001-77";22039;"BOLERO PARTICIPAÇÕES SA"
"08.936.812/0001-55";21210;"BOLSA DE MERCADORIAS & FUTUROS - BM&F S/A"
"00.257.846/0001-01";15334;"BOMBRIL HOLDING SA"
"50.564.053/0001-03";12190;"BOMBRIL SA"
"97.422.620/0001-50";14435;"BOMPREÇO BAHIA SA"
"13.004.510/0001-89";15202;"BOMPRECO SA SUPERMERCADO DO NE"
"01.269.202/0001-04";15644;"BOMPRECO TRUST RECEBIVEIS SA"
"02.117.801/0001-67";16560;"BONAIRE PARTICIPAÇÕES S.A.- EM LIQUIDAÇÃO"
"84.583.608/0001-86";1775;"BONATO SA COM E INDUSTRIA"
"60.858.586/0001-51";1783;"BONFIGLIOLI COML CONSTRUT SA"
"96.734.884/0001-87";1791;"BORBONITE SA IND DE BORRACHAS"
"91.302.034/0001-96";6238;"BORELLA SA IND E COMERCIO"
"33.323.742/0001-07";1805;"BORGHOFF SA"
