"CNPJ";"CD_CVM";"DENOM_SOCIAL"
"07.256.507/0001-50";19933;"ITAUSEG PARTICIPAÇÕES SA"
"51.764.058/0001-42";7757;"ITAUTEC INFORMÁTICA S.A. - GRUPO ITAUTEC"
"54.526.082/0001-31";12530;"ITAUTEC S.A. - GRUPO ITAUTEC"
"01.545.830/0001-67";16136;"ITINGA PARTICIPACOES SA"
"00.185.041/0001-08";18732;"ITIQUIRA ENERGÉTICA S/A"
"97.395.172/0001-43";14389;"IVEN SA"
"92.754.191/0001-03";7765;"J H SANTOS SA COM E INDUSTRIA"
"14.998.371/0001-19";21156;"J.MACEDO S/A"
"07.219.769/0001-44";11878;"JAIME PINHEIRO PARTIC. S/A"
"02.635.522/0001-95";25496;"JALLES MACHADO S.A."
"33.438.250/0001-67";7773;"JAMYR VASCONCELLOS SA"
"84.432.426/0001-04";7781;"JARAGUA FABRIL SA"
"60.395.126/0001-34";7790;"JARAGUA SA IND MECANICAS"
"04.815.734/0001-80";14354;"JARI CELULOSE SA"
"61.156.741/0001-50";7803;"JAU SA CONST E INCORPORADORA"
"02.916.265/0001-60";20575;"JBS SA"
"07.859.510/0001-68";24473;"JHSF MALLS S.A."
"08.294.224/0001-65";20605;"JHSF PARTICIPAÇÕES SA"
"03.616.270/0001-10";18805;"JIQUIRIÇA PARTICIPAÇÕES SA"
"33.035.536/0001-00";7811;"JOAO FORTES ENGENHARIA SA - EM RECUPERAÇÃO JUDICIAL"
"33.330.564/0001-41";13455;"JORNAL DO BRASIL SA"
"87.456.562/0001-22";13285;"JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP"
"15.463.423/0001-15";23299;"JP PARTICIPAÇÕES S.A."
"53.790.218/0001-53";12262;"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A."
"52.548.435/0001-79";22020;"JSL S.A."
"52.548.435/0001-79";22020;"JSL S.A."
"00.627.379/0001-64";14893;"JUNGFRAU PARTICIPACOES SA"
"09.414.761/0001-64";22446;"K-INFRA RODOVIA DO AÇO S.A."
"88.610.779/0001-08";7846;"KALIL SEHBE SA IND VESTUARIO"
"09.146.451/0001-06";25798;"KALLAS INCORPORAÇÕES E CONSTRUÇÕES S.A."
"43.283.811/0001-50";25631;"KALUNGA S.A."
"09.347.916/0001-97";22241;"KAROON PETROLEO & GAS SA"
"82.640.558/0001-04";4146;"KARSTEN SA"
"14.164.438/0001-10";7854;"KAUFMANN CACAU INDL E COML SA"
"29.339.827/0001-06";7862;"KAURI SIGMA SA"
"91.983.056/0001-69";7870;"KEPLER WEBER SA"
"57.003.881/0001-11";7897;"KIBON SA INDS ALIMENTICIAS"
"15.661.374/0001-25";13200;"KIEPPE INVESTIMENTOS SA"
"89.637.490/0001-45";12653;"KLABIN S.A."
"00.187.032/0001-48";20249;"KLABIN SEGALL S/A"
"13.270.520/0001-66";25879;"KORA SAÚDE PARTICIPAÇÕES S.A."
"00.354.053/0001-00";15083;"KOSMOS COMÉRCIO DE VESTUÁRIO S/A - EM RECUPERAÇÃO JUDICIAL"
"60.680.873/0001-14";7919;"KSB BOMBAS HIDRAULICAS SA"
"82.640.723/0001-10";566;"KUALA SA"
"61.489.514/0001-47";12688;"LABO ELETRONICA SA"
"17.159.229/0001-76";26182;"LABORATÓRIO TEUTO BRASILEIRO S.A."
"77.964.963/0001-30";11940;"LABRA IND BRAS DE LAPIS SA"
"02.037.966/0001-29";16420;"LAEROB PARTICIPACOES SA"
"61.080.198/0001-55";7927;"LAFER SA INDUSTRIA E COMERCIO"
"09.017.691/0001-00";21229;"LAHOTELS S.A."
"57.483.190/0001-62";7943;"LAMINACAO NACIONAL METAIS SA"
"57.483.190/0001-62";12912;"LAMINACAO NACIONAL METAIS SA"
"58.900.754/0001-88";15105;"LANDIS GYR INEPAR"
"91.664.706/0001-03";7951;"LANIFICIO SEHBE SA IND E EXP"
"06.041.065/0001-61";7960;"LAPSA LATICINIOS PERIZES SA"
"44.076.123/0001-81";12114;"LARAMO SA"
"60.631.090/0001-40";7978;"LARK SA MAQ E EQUIPAMENTOS(Massa Falida Administrada Judicialmente p/Soc.Advogados Mandel Advocacia)"
"02.628.033/0001-06";18643;"LATINTECH CAPITAL S/A"
"26.462.693/0001-28";25062;"LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A"
"21.414.457/0001-12";23558;"LEADS CIA. SECURITIZADORA"
"03.120.821/0001-50";13919;"LEASING BMC SA ARREND MERC"
"87.876.033/0001-88";8001;"LEE SA IND DE CONFECCOES"
"02.390.206/0001-09";17442;"LF TEL SA"
"01.468.594/0001-22";25666;"LG INFORMÁTICA S.A."
"26.173.550/0001-04";24198;"LGT HUB PARTICIPAÇÕES S/A"
"33.813.452/0001-41";18295;"LIBRA TERMINAIS SA"
"02.373.383/0001-79";17574;"LIBRA TERMINAL 35 SA"
"02.373.517/0001-51";17582;"LIBRA TERMINAL RIO S.A. - EM RECUPERAÇÃO JUDICIAL"
"02.373.517/0001-51";23434;"LIBRA TERMINAL RIO S.A. - EM RECUPERAÇÃO JUDICIAL"
"04.169.411/0001-66";21547;"LIDER AVIAÇÃO HOLDING S/A"
"17.162.579/0001-91";8010;"LIDER TAXI AEREO SA"
"02.357.251/0001-53";24872;"LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A."
"02.217.325/0001-56";16691;"LIGA FUTEBOL SA"
"17.221.771/0001-01";8028;"LIGAS DE ALUMINIO SA LIASA"
"01.917.818/0001-36";23000;"LIGHT ENERGIA S.A."
"03.378.521/0001-75";19879;"LIGHT SA"
"60.444.437/0001-46";8036;"LIGHT SERVIÇOS DE ELETRICIDADE SA"
"60.444.437/0001-46";8036;"LIGHT SERVIÇOS DE ELETRICIDADE SA"
"48.071.716/0001-06";12360;"LIMASA SA"
"00.974.211/0001-25";16853;"LINHA AMARELA S.A.- LAMSA"
"00.974.211/0001-25";24937;"LINHA AMARELA S.A.- LAMSA"
"10.234.027/0001-00";23680;"LINHAS DE MACAPÁ TRANSMISSORA DE ENERGIA S.A."
"10.240.186/0001-00";23671;"LINHAS DE XINGU TRANSMISSORA DE ENERGIA S.A."
"06.948.969/0001-75";23035;"LINX S.A."
"61.064.689/0001-02";8044;"LION SA"
"53.026.472/0001-80";13714;"LISTEL LISTAS TELEFONICAS SA"
"00.743.065/0001-27";15091;"LITEL PARTICIPACOES SA"
"05.495.546/0001-84";24759;"LITELA PARTICIPAÇÕES S.A. - EM LIQUIDAÇÃO"
"05.917.486/0001-40";25895;"LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A."
"92.724.053/0001-73";8060;"LIVRARIA DO GLOBO SA"
"33.038.696/0001-02";8079;"LIVRARIA JOSE OLYMPIO EDITORA"
"00.389.481/0001-79";24880;"LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A."
"02.286.479/0001-08";24813;"LOCALIZA  FLEET S.A."
"16.670.085/0001-55";19739;"LOCALIZA RENT A CAR SA"
"16.670.085/0001-55";19739;"LOCALIZA RENT A CAR SA"
"02.351.877/0001-52";21407;"LOCAWEB SERVIÇOS DE INTERNET S.A."
"02.351.877/0001-52";24910;"LOCAWEB SERVIÇOS DE INTERNET S.A."
"09.041.168/0001-10";23272;"LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES S.A."
"42.278.291/0001-24";20710;"LOG-IN LOGISTICA INTERMODAL SA"
"19.851.496/0001-35";23477;"LOGOS COMPANHIA SECURITIZADORA S/A"
"33.014.556/0001-96";8087;"LOJAS AMERICANAS SA"
"33.014.556/0001-96";8087;"LOJAS AMERICANAS SA"
"33.005.703/0001-61";8109;"LOJAS BRASILEIRAS SA LOBRAS"
"82.640.632/0001-84";8117;"LOJAS HERING SA"
"16.233.389/0001-55";25542;"LOJAS LE BISCUIT S.A."
"96.418.264/0218-02";25038;"LOJAS QUERO-QUERO S.A."
"96.418.264/0218-02";25038;"LOJAS QUERO-QUERO S.A."
"92.754.738/0001-62";8133;"LOJAS RENNER SA"
"92.754.738/0001-62";8133;"LOJAS RENNER SA"
"60.889.854/0001-00";8141;"LONAFLEX SA"
"02.338.534/0001-58";17434;"LONGDIS SA"
"33.107.533/0001-26";12351;"LORENTZEN EMPREENDIMENTOS SA"
"12.394.972/0001-97";23027;"LOUCOS POR FUTEBOL S.A."
"23.643.315/0001-52";8184;"LPC INDUSTRIAS ALIMENTICIAS SA"
"08.078.847/0001-09";20370;"LPS BRASIL CONSULTORIA DE IMOVEIS S/A"
"84.684.554/0001-45";2224;"LUMIERE SA"
"89.463.822/0001-12";20060;"LUPATECH S/A - EM RECUPERAÇÃO JUDICIAL"
"43.948.405/0001-69";26506;"LUPO S.A."
"44.813.863/0001-53";8206;"M DEDINI SA METALURGICA"
"07.206.816/0001-15";20338;"M DIAS BRANCO SA IND E COM DE ALIMENTOS"
"00.988.131/0001-29";15431;"M HOLDINGS SA"
"17.155.151/0001-11";8214;"M ROSCOE SA ENG IND E COMERCIO"
"56.806.656/0001-50";14559;"M&G POLIÉSTER SA"
"03.076.274/0001-52";18929;"MACHADINHO ENERGÉTICA SA"
"92.696.418/0001-01";8222;"MADEF SA INDUSTRIA E COMERCIO"
"10.927.820/0001-87";8230;"MADEIRA SINTETICA SA"
"88.610.159/0001-79";8281;"MADEPART SA ADMINISTRAÇÃO E PARTICIPAÇÕES"
"13.783.221/0004-78";26379;"MADERO INDÚSTRIA E COMÉRCIO S.A."
"88.610.290/0001-36";8273;"MADEZATTI SA"
"08.795.211/0001-70";23612;"MAESTRO LOCADORA DE VEÍCULOS S.A."
"08.795.211/0001-70";23612;"MAESTRO LOCADORA DE VEÍCULOS S.A."
"82.640.699/0001-19";8303;"MAFISA MALHARIA BLUMENAU SA"
"47.960.950/0001-21";22470;"MAGAZINE LUIZA SA"
"00.592.603/0001-20";24244;"MAGNESITA MINERAÇÃO S.A."
"08.684.547/0001-65";20842;"MAGNESITA REFRATARIOS S.A."
"19.791.268/0001-17";8311;"MAGNESITA SA"
"03.002.935/0001-03";18520;"MAHLE COFAP ANEIS SA"
"60.476.884/0001-87";8575;"MAHLE METAL LEVE S.A."
"70.036.132/0001-59";16187;"MAISA PARTICIPACOES SA"
"00.889.852/0001-81";15180;"MAISON ECO SA"
"02.176.632/0001-36";17035;"MAISON ROYALE SA"
"87.191.847/0001-89";8338;"MAISONNAVE CIA DE PART"
"92.893.999/0001-63";8346;"MAISONNAVE DTVM SA"
"87.155.461/0001-11";8354;"MAISONNAVE LEASING SA AM"
"92.753.805/0001-24";8362;"MAISONNAVE SA CFI"
"47.427.653/0001-15";14834;"MAKRO ATACADISTA SA"
"60.400.009/0001-11";8389;"MANASA MADEIREIRA NACIONAL SA"
"09.584.854/0001-37";26719;"MANAUS TRANSMISSORA DE ENERGIA S.A"
"61.065.298/0001-02";8397;"MANGELS INDUSTRIAL S.A."
"61.293.643/0001-65";12670;"MANUF ART BORRACHA NOGAM SA"
"61.082.004/0001-50";8427;"MANUFATURA DE  BRINQUEDOS ESTRELA SA"
"02.535.295/0001-26";17779;"MAORI SA"
"00.925.788/0001-47";15156;"MAPPIN TRUST RECEBIVEIS SA"
"60.894.482/0001-00";8435;"MAQUINAS PIRATININGA SA"
"51.468.056/0001-06";12181;"MARAMBAIA ENERGIA RENOVÁVEL SA"
"88.611.835/0001-29";8451;"MARCOPOLO SA"
"27.044.213/0001-71";8460;"MARCOVAN SA"
"03.853.896/0001-40";20788;"MARFRIG GLOBAL FOODS SA"
"07.334.600/0001-35";16268;"MARINA DE IRACEMA PARK SA"
"01.603.908/0001-52";16381;"MARINGA PARK SA"
"61.189.288/0001-89";22055;"MARISA LOJAS SA"
"08.262.343/0001-36";20761;"MARISA SA"
"84.429.752/0001-62";8486;"MARISOL SA"
"03.301.811/0001-10";18481;"MARLIM PARTICIPAÇÕES SA"
"00.090.057/0001-29";14575;"MARSIAJ OLIVEIRA SA"
"56.021.785/0001-33";13064;"MARTREX SA"
"11.395.624/0001-71";22500;"MASSA FALIDA DA BRASIL PHARMA SA"
"82.639.543/0001-18";3611;"MASSA FALIDA DA CIA LORENZ"
"00.410.345/0001-13";15164;"MASSA FALIDA DA CREFISUL LEASING SA ARREND MERCL"
"01.556.141/0001-58";5622;"MASSA FALIDA DA ENCOL SA ENG COM E INDUSTRIA"
"01.556.141/0001-58";13633;"MASSA FALIDA DA ENCOL SA ENG COM E INDUSTRIA"
"82.981.671/0001-45";5827;"MASSA FALIDA DA FÁBRICA DE TECIDOS CARLOS RENAUX S.A."
"33.010.760/0001-39";8982;"MASSA FALIDA DA MULLER IND E COMERCIO"
"59.386.987/0001-77";17060;"MASSA FALIDA DA PROCID PARTICIPAÇÕES E NEGÓCIOS SA"
"83.296.889/0001-23";10243;"MASSA FALIDA DA SA IND E COMERCIO CHAPECO"
"62.607.502/0001-32";10642;"MASSA FALIDA DA SHARP SA EQUIPS ELETRONICOS"
"78.594.876/0001-09";11495;"MASSA FALIDA DA TRANSPARANA SA"
"11.703.519/0001-52";3506;"MASSA FALIDA DE BRASPÉROLA INDÚSTRIA E COMÉRCIO SA"
"29.075.363/0001-78";12920;"MASSA FALIDA DE CIA. BRASILEIRA DE ANTIBIÓTICOS - CIBRAN"
"33.470.022/0001-74";4138;"MASSA FALIDA DE COMPANHIA TEXTIL FERREIRA GUIMARAES"
"02.490.462/0001-60";19020;"MASSA FALIDA DE FAZENDAS REUNIDAS BOI GORDO"
"45.240.538/0001-01";13560;"MASSA FALIDA DE OLMA SA OLEOS VEGETAIS"
"33.017.039/0001-70";12980;"MASSA FALIDA DE SAM INDUSTRIAS SA"
"62.136.254/0001-99";20753;"MASSA FALIDA DO BANCO CRUZEIRO DO SUL S/A"
"07.645.294/0001-58";7234;"MASTER IND PLAST CEARENSE SA"
"07.645.260/0001-63";12548;"MASTER SA TEC PLASTICOS"
"56.795.362/0001-70";13170;"MATEL TECN DE TELEINF SA"
"08.904.090/0001-57";21059;"MATONE SECURITIZADORA S/A"
"02.736.473/0001-87";18228;"MAVERICK SA"
"07.385.191/0001-04";19780;"MÁXIMA SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS S/A"
"57.912.412/0001-15";13250;"MAYUTA SA"
"04.123.616/0001-00";21385;"MB ENGENHARIA SA"
"15.688.041/0001-90";22861;"MBK SECURITIZADORA S/A"
"03.751.496/0001-23";18783;"MC TRUST SA"
"65.614.901/0001-19";13862;"MC&A SISTEMAS PESSOAIS SA"
"11.858.621/0001-27";22284;"MCM CIMENTOS S.A."
"97.422.638/0001-52";14427;"MCOM SA TELECOMUNICACOES"
"01.102.291/0001-91";15504;"MCOM WIRELESS SA"
"60.835.410/0001-84";8516;"MECANICA PESADA SA"
"43.358.647/0001-00";20273;"MEDIAL SAUDE S/A"
"03.587.746/0001-31";18619;"MEGAPART PARTICIPAÇÕES SA"
"15.217.433/0001-70";8524;"MELAMINA ULTRA S.A. INDÚSTRIA  QUÍMICA"
"14.110.585/0001-07";25232;"MELIUZ S.A."
"12.181.987/0001-77";25119;"MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A."
"00.020.540/0001-37";14532;"MELPAPER SA"
"02.607.723/0001-89";17531;"MEM CELULAR PARTICIPAÇÕES SA"
"17.162.082/0001-73";4782;"MENDES JUNIOR ENGENHARIA SA"
"92.012.780/0001-08";13080;"MENEGAZ S.A. INDUSTRIA E COM."
"12.499.629/0001-07";22462;"MENFIS PARTICIPAÇÕES S/A"
"33.040.601/0001-87";8540;"MERCANTIL DO BR FINC SA CFI"
"26.386.169/0001-15";15890;"MERCANTIL DO BRASIL LEASING SA"
"61.079.976/0001-96";12807;"MERIDIONAL S.A."
"33.087.156/0001-00";8559;"MESBLA SA"
"39.527.759/0001-62";14060;"MESBLA TRUST REC CARTAO CRD SA"
"60.395.209/0001-23";13528;"METAL LEVE ELETR E AUTOM SA"
"61.284.006/0001-22";8583;"METALAC SA IND E COMERCIO"
"33.034.323/0001-55";8591;"METALFLEX SA IND E COMERCIO"
"04.821.041/0001-08";20613;"METALFRIO SOLUTIONS S/A"
"80.227.184/0001-66";8605;"METALGRAFICA IGUACU SA"
"33.034.828/0001-10";8613;"METALGRAFICA RIO INDL SA"
"33.535.246/0001-17";8621;"METALON INDUSTRIAS REUNIDAS SA"
"02.312.699/0001-50";17370;"METALTRUST S/A (5212 PARTICIPAÇÕES S/A)"
"84.683.762/0001-20";8648;"METALURGICA DUQUE SA - EM RECUPERAÇÃO JUDICIAL"
"92.690.783/0001-09";8656;"METALURGICA GERDAU SA"
"92.690.783/0001-09";8656;"METALURGICA GERDAU SA"
"89.772.065/0001-69";8664;"METALURGICA HASSMANN SA"
"84.430.768/0001-95";13641;"METALURGICA JOAO WIEST SA"
"61.074.837/0001-70";8680;"METALURGICA MATARAZZO SA"
"52.502.945/0001-05";8699;"METALURGICA MOCOCA SA"
"85.778.074/0001-06";13439;"METALURGICA RIOSULENSE SA"
"16.234.171/0001-15";8745;"METANOR SA METANOL DO NE"
"86.375.425/0001-09";8753;"METISA METALÚRGICA  TIMBOENSE SA"
"43.710.946/0001-54";8761;"METODO ENGENHARIA SA"
"43.710.946/0001-54";17876;"METODO ENGENHARIA SA"
"01.709.614/0001-00";16276;"METRO EXTENSAO NORTE TRUST SA"
"19.296.342/0001-29";22942;"MGI - MINAS GERAIS PARTICIPAÇÕES S.A."
"33.183.526/0001-03";12440;"MICROLAB SA"
"45.169.406/0001-30";12815;"MICROTEC SIST IND E COM SA"
"27.093.558/0001-15";22012;"MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA S/A"
"27.093.558/0001-15";22012;"MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA S/A"
"17.496.431/0001-93";8800;"MINAS INV SA EMPR ADM ADMINAS"
"16.518.649/0001-39";16080;"MINASFER S/A"
"17.161.241/0001-15";8818;"MINASMAQUINAS SA"
"62.436.092/0001-04";8834;"MINERACAO ARIPUANA SA"
"82.989.369/0001-33";4316;"MINERAÇÃO E CIMENTO VALE ITAJAI SA"
"67.620.377/0001-14";20931;"MINERVA S/A"
"90.076.886/0001-40";13765;"MINUPAR PARTICIPACOES SA"
"37.592.100/0001-64";25151;"MISSISSIPI SECURITIZADORA S/A"
"07.882.930/0001-65";24902;"MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A."
"13.444.994/0001-87";22586;"MLOG S.A."
"02.762.115/0001-49";17914;"MMX MINERAÃ+O E MET-LICOS S.A - FALIDA"
"12.592.831/0001-89";26611;"MNLT S.A."
"22.670.178/0001-82";12157;"MNM METALURGICA NORTE MINAS SA"
"31.553.627/0001-01";25461;"MOBLY S.A."
"42.517.177/0001-00";12734;"MODDATA SA ENG. DE TEL. E INF."
"09.140.181/0001-26";21253;"MOENA PARTICIPAÇÕES S/A"
"61.204.251/0001-82";8869;"MOINHO DA LAPA SA"
"10.781.276/0001-08";12777;"MOINHO RECIFE SA EMPR E PART"
"87.551.552/0001-76";3719;"MÔNACO - ADMINISTRAÇÃO E PARTICIPAÇÕES S.A."
"37.702.340/0001-74";26328;"MONTE RODOVIAS S.A."
"33.102.476/0001-92";8893;"MONTEIRO ARANHA SA"
"33.102.476/0001-92";8893;"MONTEIRO ARANHA SA"
"09.191.251/0001-75";21261;"MONTICIANO PARTICIPAÇÕES S/A"
"60.501.780/0001-85";8907;"MONTREAL EMPR COM E IND SA"
"09.083.175/0001-84";25470;"MOSAICO TECNOLOGIA AO CONSUMIDOR S.A."
"16.236.440/0001-82";3670;"MOTO PECAS TRANSMISSOES SA"
"61.106.068/0001-44";12769;"MOTORADIO SA COML E INDUSTRIAL"
"46.414.082/0001-11";8923;"MOTORES BUFALO SA"
"33.063.611/0001-38";8931;"MOTORISTA UNIAO COML IMPORT SA"
"33.069.691/0001-39";8940;"MOTORTEC INDUSTRIA AERONÁUTICA S.A."
"12.049.631/0001-84";21067;"MOURA DUBEUX ENGENHARIA S/A"
"12.049.631/0001-84";21067;"MOURA DUBEUX ENGENHARIA S/A"
"07.196.983/0001-22";8966;"MOVEIS DE ACO ANGELO FG SA"
"07.976.147/0001-60";25828;"MOVIDA LOCAÇÃO DE VEÍCULOS S.A"
"21.314.559/0001-66";23825;"MOVIDA PARTICIPAÇÕES S.A."
"21.314.559/0001-66";23825;"MOVIDA PARTICIPAÇÕES S.A."
"26.659.061/0001-59";25445;"MPM CORPÓREOS S.A."
"01.417.222/0001-77";17949;"MRS LOGÍSTICA S/A"
"08.343.492/0001-20";20915;"MRV ENGENHARIA E PARTICIPAÇÕES S/A"
"76.486.711/0001-80";12629;"MUELLER IRMAOS SA"
"02.369.513/0001-08";16977;"MULTI-CAR RIO TERMINAL DE VEÍCULOS S/A"
"01.378.557/0001-23";15857;"MULTIBRAS PAR SA"
"59.717.553/0001-02";26034;"MULTILASER INDUSTRIAL S.A."
"08.935.054/0001-50";21520;"MULTINER S/A"
"07.816.890/0001-53";20982;"MULTIPLAN EMP. IMOBILIARIOS S/A"
"07.816.890/0001-53";20982;"MULTIPLAN EMP. IMOBILIARIOS S/A"
"53.661.898/0001-05";8150;"MULTIPLIC LEASING ARR MERC SA"
"11.094.546/0001-75";21946;"MULTIPLUS SA"
"55.413.983/0001-80";12610;"MULTITEL TECNOLOGIA SA"
"22.148.316/0001-68";9008;"MULTITEXTIL SA"
"61.066.940/0001-78";9016;"MULTIVIDRO SA"
"49.865.884/0001-36";9024;"MUNCK SA EQUIPS INDUSTRIAIS"
"33.042.961/0001-18";9032;"MUNDIAL ARTEFATOS DE COURO SA"
"88.610.191/0001-54";5312;"MUNDIAL S.A - PRODUTOS DE CONSUMO"
"33.807.348/0001-44";14737;"NACIONAL FACTORING SA"
"68.584.515/0001-10";18457;"NACIONAL IGUATEMI BAHIA PARTICIPAÇÕES SA"
"43.711.746/0001-16";13676;"NACIONAL LEASING SA ARR MEC"
"33.222.225/0001-41";10766;"NACIONAL SA SOC CRED FIN INVS"
"61.067.161/0001-97";9040;"NADIR FIGUEIREDO S.A"
"60.875.259/0001-08";9059;"NAKATA SA IND E COMERCIO"
"14.200.586/0001-42";22667;"NAOMI PARTICIPAÇÕES SA"
"15.377.572/0001-61";23906;"NASA SECURITIZADORA S.A."
"62.336.953/0001-82";12394;"NATIONAL DISTILLERS DO BR SA"
"43.504.489/0001-41";13048;"NATIVA TRANSFORMADORES SA"
"32.785.497/0001-97";24783;"NATURA & CO HOLDING S.A."
"71.673.990/0001-77";19550;"NATURA COSMETICOS SA"
"04.233.319/0001-18";24015;"NCF PARTICIPAÇÕES S.A."
"01.083.200/0001-18";15539;"NEOENERGIA S.A"
"10.139.870/0001-08";25399;"NEOGRID PARTICIPACÕES S.A."
"60.881.364/0001-50";1651;"NESBER COMPANHIA INDUSTRIAL"
"00.108.786/0001-65";14621;"NET SERVIÇOS DE COMUNICAÇÃO S.A."
"00.192.769/0001-59";14613;"NEUMARKT TRADE AND FINANCIAL CENTER S/A"
"02.604.997/0001-14";17540;"NEWTEL PARTICIPAÇÕES S.A. - EM LIQUIDAÇÃO"
"10.302.690/0001-97";22063;"NEXFUEL BIOENERGIA S/A"
"08.613.550/0001-98";21180;"NEXPE PARTICIPAÃiES S.A."
"14.200.537/0001-00";22640;"NISA PARTICIPAÇÕES SA"
"13.558.218/0001-08";9075;"NITROCARBONO SA"
"14.200.699/0001-48";22659;"NOAH PARTICIPAÇÕES SA"
"43.834.894/0001-28";9105;"NORCHEM PARTICIPAÇÕES E CONSULTORIA SA"
"13.015.151/0001-65";21504;"NORCON SOCIEDADE NORDESTINA DE CONSTRUCÕES S/A"
"13.606.611/0001-20";11886;"NORDEQ EQUIPS INDLS DO NE SA"
"60.884.319/0001-59";9083;"NORDON INDS METALURGICAS SA"
"60.394.301/0001-79";9113;"NOROESTE SEGURADORA SA"
"07.467.619/0001-50";21369;"NORSE ENERGY DO BRASIL SA"
"09.625.321/0001-56";24988;"NORTE BRASIL TRANSMISSORA DE ENERGIA S.A."
"12.300.288/0001-07";25097;"NORTE ENERGIA S.A"
"29.950.060/0001-57";22985;"NORTEC QUIMICA S.A."
"19.853.511/0001-84";24384;"NOTRE DAME INTERMÉDICA PARTICIPAÇÕES S.A."
"04.634.250/0001-34";19224;"NOVA AÇÃO PARTICIPAÇÕES S.A."
"15.101.520/0001-68";10251;"NOVA ALIANCA SA"
"33.007.592/0001-22";3751;"NOVA AMERICA SA"
"08.903.116/0001-42";21105;"NOVA SECURITIZAÇÃO S/A"
"65.441.354/0001-17";15385;"NOVA SHOPPING CENTER SA"
"04.992.714/0001-84";24708;"NOVA TRANSPORTADORA DO SUDESTE S.A. - NTS"
"51.754.240/0001-12";12700;"NOVADATA SISTS COMPUTADORES SA"
"04.665.504/0001-81";19178;"NOVAMARLIM PARTICIPAÇÕES S/A"
"04.668.779/0001-79";19194;"NOVAMARLIM PETROLEO SA"
"91.677.682/0001-27";9148;"NOVO HAMBURGO CIA SEGS GERAIS"
"91.669.739/0001-46";9156;"NOVOSINOS SA DTVM"
"47.177.654/0001-59";9164;"NOVOTEL HOTELARIA TURISMO SA"
"10.337.440/0001-92";21695;"NPF SECURITIZADORA S.A."
"73.615.395/0001-00";14273;"NQ PARTICIPAÇÕES S.A."
"02.084.220/0001-76";16446;"NUMERAL 80 PARTICIPAÇÕES S.A."
"33.031.782/0001-85";9172;"NUTRICIA SA PRODS DIETS NUTLS"
"51.128.999/0001-90";21334;"NUTRIPLANT INDUSTRIA E COMÉRCIO S/A"
"84.683.770/0001-76";9180;"NYLONSUL TEXTIL A M SCHMALZ SA"
"01.856.751/0001-77";16365;"OAHAKA PARTICIPACOES SA"
"09.114.805/0001-30";25534;"OCEANPACT SERVIÇOS MARÍTIMOS S.A."
"12.139.922/0001-63";22390;"OCTANTE SECURITIZADORA SA"
"15.105.588/0001-15";9199;"ODEBRECHT SA"
"58.119.199/0001-51";20125;"ODONTOPREV S/A"
"20.514.590/0001-88";26662;"ODOYÁ TRANSMISSORA DE ENERGIA S.A"
"02.062.753/0001-57";16594;"OESTE PARTICIPAÇÕES SA"
"76.535.764/0001-43";11312;"OI S.A. - EM RECUPERAÇÃO JUDICIAL"
"07.957.093/0001-96";20168;"ÓLEO E GÁS PARTICIPAÇÕES S/A"
"07.249.238/0001-02";12831;"OLICAL INDUSTRIAL SA"
"21.110.778/0001-23";26417;"OLIVEIRA TRUST S.A."
"91.156.901/0001-22";9245;"OLVEBRA SA"
"42.500.384/0001-51";26441;"OMEGA ENERGIA S.A."
"09.149.503/0001-06";22110;"OMEGA GERAÇÃO S.A."
"09.149.503/0001-06";23426;"OMEGA GERAÇÃO S.A."
"12.104.241/0004-02";26123;"ONCOCLÍNICAS DO BRASIL SERVIÇOS MÉDICOS S.A."
"07.875.234/0001-21";20419;"ONE PROPERTIES S.A."
"02.773.542/0001-22";18406;"OPEA SECURITIZADORA S.A."
"89.546.063/0001-51";15393;"OPP PETROQUIMICA SA"
"02.318.346/0001-68";16942;"OPPORTUNITY ENERGIA E PARTICIPAÇÕES S.A."
"01.957.774/0001-78";16357;"OPPORTUNITY LESTE SA"
"03.653.874/0001-36";20583;"OPPORTUNITY SECURITIZADORA DE CREDITOS IMOBILIARIOS SA"
"01.948.039/0001-06";16470;"ORBIS TRUST SECURITIZADORA DE CREDITOS S/A"
"61.082.863/0001-40";9261;"ORION SA"
"11.421.994/0001-36";25550;"ORIZON VALORIZAÇÃO DE RESÍDUOS S.A."
"11.421.994/0001-36";25550;"ORIZON VALORIZAÇÃO DE RESÍDUOS S.A."
"61.084.885/0001-49";9270;"ORNIEX SA"
"09.112.685/0001-32";21342;"OSX BRASIL S.A."
"12.320.349/0001-90";22250;"OURINVEST SECURITIZADORA S.A."
