"DT_REFER";"CD_CVM";"DENOM_CIA";"COLUNA_DF";"VL_CONTA"
2010;3182;"DOCAS INVESTIMENTOS SA";"Patrimônio Líquido";-276445
2010;11231;"TEKNO S.A. - INDUSTRIA E COMERCIO";"Patrimônio Líquido";222133
2010;3328;"CIA HIDRO ELÉTRICA DO SÃO FRANCISCO";"Patrimônio Líquido";17216161
2010;4170;"VALE S.A.";"Patrimônio Líquido";112118519
2010;3980;"GERDAU S.A.";"Patrimônio Líquido";19470442
2010;80128;"LATAM AIRLINES GROUP S.A.";"Patrimônio Líquido";2141040
2010;11592;"UNIPAR CARBOCLORO S.A.";"Patrimônio Líquido";374087
2010;21172;"AMIL PARTICIPAÇÕES S/A";"Patrimônio Líquido";1374218
2010;4820;"BRASKEM S.A.";"Patrimônio Líquido";10390207
2010;20710;"LOG-IN LOGISTICA INTERMODAL S.A.";"Patrimônio Líquido";612287
2010;15458;"EMBPAR PARTICIPAÇÕES S/A";"Patrimônio Líquido";17579
2010;6815;"IGB ELETRONICA S.A - EM RECUPERACAO JUDICIAL";"Patrimônio Líquido";-451696
2010;20524;"EVEN CONSTRUTORA E INCORPORADORA S.A.";"Patrimônio Líquido";1390123
2010;14443;"CIA SANEAMENTO BASICO EST SAO PAULO";"Patrimônio Líquido";9681800
2010;20346;"PROFARMA DISTRIB PROD FARMACEUTICOS S.A.";"Patrimônio Líquido";518887
2010;701;"BAHEMA EDUCAÇÃO S.A.";"Patrimônio Líquido";67009
2010;4774;"CONSTRUTORA LIX DA CUNHA S.A.";"Patrimônio Líquido";53626
2010;14826;"CIA BRASILEIRA DE DISTRIBUICAO";"Patrimônio Líquido";7098589
2010;22470;"MAGAZINE LUIZA S.A.";"Patrimônio Líquido";47436
2010;20877;"HELBOR EMPREENDIMENTOS S.A.";"Patrimônio Líquido";701153
2010;21440;"RESTOQUE COMÉRCIO E CONFECÇÕES DE ROUPAS S.A.";"Patrimônio Líquido";152993
2010;12190;"BOMBRIL S.A.";"Patrimônio Líquido";-122319
2010;11762;"VULCABRAS S.A.";"Patrimônio Líquido";529412
2010;20494;"IGUATEMI EMPRESA DE SHOPPING CENTERS S.A";"Patrimônio Líquido";1488101
2010;13471;"PLASCAR PARTICIPACOES INDUSTRIAIS S.A.";"Patrimônio Líquido";265761
2010;22020;"JSL S.A.";"Patrimônio Líquido";813146
2010;2488;"CERAMICA CHIARELLI SA";"Patrimônio Líquido";-135297
2010;19992;"TOTVS S.A.";"Patrimônio Líquido";619194
2010;12262;"JPSP INVESTIMENTOS E PARTICIPAÇÕES S/A";"Patrimônio Líquido";190592
2010;12530;"ITAUTEC S.A. - GRUPO ITAUTEC";"Patrimônio Líquido";513972
2010;5770;"EUCATEX S.A. INDUSTRIA E COMERCIO";"Patrimônio Líquido";936873
2010;7510;"INDUSTRIAS ROMI S.A.";"Patrimônio Líquido";700042
2010;14559;"M&G POLIÉSTER SA";"Patrimônio Líquido";241518
2010;1694;"BICICLETAS MONARK S.A.";"Patrimônio Líquido";317849
2010;20125;"ODONTOPREV S.A.";"Patrimônio Líquido";718373
2010;19046;"BROOKFIELD SÃO PAULO EMPREENDIMENTOS IMOBILIÁRIOS S.A.";"Patrimônio Líquido";287238
2010;22381;"AUTOMETAL S.A.";"Patrimônio Líquido";565327
2010;14346;"WHIRLPOOL S.A.";"Patrimônio Líquido";1636693
2010;21199;"BCO PAN S.A.";"Patrimônio Líquido";-399599
2010;14931;"DIXIE TOGA SA";"Patrimônio Líquido";752323
2010;9393;"PARANAPANEMA S.A.";"Patrimônio Líquido";1771375
2010;8575;"MAHLE-METAL LEVE S.A.";"Patrimônio Líquido";1332868
2010;10472;"SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL";"Patrimônio Líquido";424413
2010;8672;"JEREISSATI PARTICIPACOES S.A.";"Patrimônio Líquido";1082255
2010;12793;"FIBRIA CELULOSE S.A.";"Patrimônio Líquido";15381413
2010;9067;"SUZANO HOLDING S.A.";"Patrimônio Líquido";2811581
2010;3654;"CIA MELHORAMENTOS DE SAO PAULO";"Patrimônio Líquido";538592
2010;906;"BCO BRADESCO S.A.";"Patrimônio Líquido";51051234
2010;1384;"BCO ALFA DE INVESTIMENTO S.A.";"Patrimônio Líquido";1037981
2010;21881;"FLEURY S.A.";"Patrimônio Líquido";1011803
2010;1520;"BARDELLA S.A. INDUSTRIAS MECANICAS EM RECUPERAÇÃO JUDICIAL";"Patrimônio Líquido";455636
2010;19348;"ITAU UNIBANCO HOLDING S.A.";"Patrimônio Líquido";66265000
2010;4650;"CONFAB INDUSTRIAL SA";"Patrimônio Líquido";1336639
2010;20680;"BANCO SOFISA SA";"Patrimônio Líquido";774934
2010;14320;"USINAS SID DE MINAS GERAIS S.A.-USIMINAS";"Patrimônio Líquido";17432599
2010;4723;"CONSTRUTORA ADOLPHO LINDENBERG S.A.";"Patrimônio Líquido";-16899
2010;20885;"BCO INDUSVAL S.A.";"Patrimônio Líquido";432623
2010;8397;"MANGELS INDUSTRIAL S.A.";"Patrimônio Líquido";226863
2010;16306;"ROSSI RESIDENCIAL S.A.";"Patrimônio Líquido";1983704
2010;9040;"NADIR FIGUEIREDO IND E COM S.A.";"Patrimônio Líquido";316455
2010;10456;"ALPARGATAS S.A.";"Patrimônio Líquido";1310475
2010;8427;"MANUFATURA DE BRINQUEDOS ESTRELA S.A.";"Patrimônio Líquido";-143201
2010;2100;"CAMBUCI S.A.";"Patrimônio Líquido";34432
2010;5762;"ETERNIT S.A. - EM RECUPERAÇÃO JUDICIAL";"Patrimônio Líquido";412476
2010;11932;"IOCHPE MAXION S.A.";"Patrimônio Líquido";779388
2010;12823;"SIDERURGICA J. L. ALIPERTI S.A.";"Patrimônio Líquido";138538
2010;22055;"MARISA LOJAS S.A.";"Patrimônio Líquido";823037
2010;11975;"AZEVEDO E TRAVASSOS S.A.";"Patrimônio Líquido";21581
2010;1562;"BAUMER S.A.";"Patrimônio Líquido";41184
2010;19623;"DIAGNOSTICOS DA AMERICA S.A.";"Patrimônio Líquido";614887
2010;7617;"ITAÚSA S.A.";"Patrimônio Líquido";26302000
2010;19798;"PARAMOUNT TEXTEIS INDUSTRIA E COMERCIO S/A";"Patrimônio Líquido";249348
2010;3190;"REDE ENERGIA PARTICIPAÇÕES S.A.";"Patrimônio Líquido";1313180
2010;20753;"BANCO CRUZEIRO DO SUL SA";"Patrimônio Líquido";1074792
2010;20567;"BCO PINE S.A.";"Patrimônio Líquido";855290
2010;20796;"BCO DAYCOVAL S.A.";"Patrimônio Líquido";1779224
2010;19631;"CAMARGO CORREA CIMENTOS SA";"Patrimônio Líquido";2016654
2010;20451;"RNI NEGÓCIOS IMOBILIÁRIOS S.A.";"Patrimônio Líquido";677501
2010;20486;"CAMARGO CORREA DESENVOLVIMENTO IMOBILIARIO SA";"Patrimônio Líquido";777840
2010;20702;"VIVER INCORP. E CONSTRUTORA S.A. - EM RECUPERAÇÃO JUDICIAL";"Patrimônio Líquido";1120831
2010;20931;"MINERVA S.A.";"Patrimônio Líquido";506494
2010;21032;"ALGAR TELECOM S/A";"Patrimônio Líquido";441618
